"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Delegation Security Analysis in Workflow Systems","B. Yang; H. Hu","School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China; School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China","IEEE Transactions on Dependable and Secure Computing","","2023","PP","99","1","12","User delegation is a type of access control mechanisms that allow a person to delegate all or part of his $/$ her authorities to others. It is an important access control policy that can significantly improve workflow flexibility. A crucial requirement after delegations is to check the satisfiability of workflow, i.e., determining whether there exists a valid execution schedule ($ES$) in the workflow that can ensure it to proceed from the beginning to the ending while satisfying all authorization constraints. Existing works perform in a centralized manner to find such a valid $ES$ by exploring all $ES$s. Unfortunately, the enumeration of $ES$s is highly inefficient from the perspective of computational complexity. This study proposes a novel approach to overcome this difficulty in a distributed way. First, we use Petri nets (PNs) to formalize workflow and user delegations. Then, we directly specify a conflict-free workflow that satisfies all authorization constraints. Hence, determining the satisfiability of a workflow amounts to directly checking the existence of $ES$s in the corresponding conflict-free workflow. Finally, we present a distributed strategy, which is of polynomial complexity, to determine the existence of $ES$s.","1941-0018","","10.1109/TDSC.2023.3248602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10052704","Distributed control;petri nets;separation of duty constraint;user delegation;workflow processes","Authorization;Indexes;Contracts;Schedules;Petri nets;Computational complexity;Process control","","","","","","","IEEE","24 Feb 2023","","","IEEE","IEEE Early Access Articles"
"Beacon-Based Firing Control for Authorization Security in Workflows","W. Zhong; J. Zhao; H. Hu","School of Electro-Mechanical Engineering, Xidian University, Xi'an, China; National Key Laboratory of Science and Technology on Information System Security, Beijing, China; School of Electro-Mechanical Engineering, Xidian University, Xi'an, China","IEEE Transactions on Reliability","","2023","PP","99","1","16","One of the noteworthy investigations in workflows is the implementation of authorization-related security requirements. There are two typical security requirements, i.e., separation of duty (SoD) and binding of duty (BoD). However, most of the previous works are only focused on SoD while ignoring BoD. In this article, we consider both of them by proposing an extended-structural implementation approach, namely beacon-based firing control, to enforce security requirements. Thanks to the flexibility of beacon-based firing control, both BoD and SoD can be enforced in a straightforward way with no sophisticated operations for their implementation, although they are a pair of security requirements in conflict. As a preparation of beacon-based firing control, we define the beacon-extended Petri nets (PNs) by introducing a new object, namely beacon, to PNs so as to lay the foundation. In addition, we present the firing-based linear equations and inequalities for BoD and SoD to provide the standardized descriptions for their implementation. For the sake of expansibility, the applicability analysis is provided for the more general security requirements. Ultimately, the comparative experiments and discussions are presented to show the effiectiveness and efficiency of the proposed approach.","1558-1721","","10.1109/TR.2023.3235785","National Natural Science Foundation of China(grant numbers:61973242,61573265,61203037); Fundamental Research Funds for the Central Universities(grant numbers:K7215581201,K5051304004,K5051304021); New Century Excellent Talents in University(grant numbers:NCET-12-0921); Academic Research Fund Tier 1; Ministry of Education in Singapore(grant numbers:2014-T1-001-147); Academic Research Fund Tier 2; Ministry of Education in Singapore(grant numbers:MOE2015-T2-2-049); Major Fundamental Research Program of the Natural Science Foundation of Shaanxi Province(grant numbers:2017ZDJC-34); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10040487","Authorization-related security;beacon-extended Petri nets (BEPNs);beacon-based firing control;workflows","Security;Authorization;Task analysis;Mathematical models;Business;Monitoring;Computational modeling","","","","","","","IEEE","7 Feb 2023","","","IEEE","IEEE Early Access Articles"
"Analysis of Authorization Constraints via Integer Linear Programming","B. Yang; H. Hu","School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China; School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China","IEEE Transactions on Knowledge and Data Engineering","3 Feb 2023","2023","35","3","2258","2271","This paper focuses on constraint verification and violation resolution for Petri nets (PNs) modeling of role-based access control (RBAC) policy. Checking the satisfiability of authorization constraints imposes a major challenge when the number of states of a target system is large. To overcome this difficulty, we provide three necessary and sufficient conditions to check three different constraints, namely Separation of Duties (SoDs), Binding of Duties (BoDs), and Constraints of Cardinality (CoCs). The proposed results are based on the solutions of integer linear programming problems (ILPs). By relying on an ILP formulation that does not require the explicit computation of the net reachability set, the proposed approach is particularly well suited for large-size PNs. When the given system does not satisfy a considered constraint, the objective is to propose a suitable violation resolution strategy to correctly enforce the given constraint. In this paper, enforcement of control places and administration of RBAC are presented to solve the SoD, BoD, and CoC violations. All violations can be corrected in a once for all manner while simultaneously ensuring the satisfaction of all other constraints. The comparison between our approach and the existing ones is given to illustrate the effectiveness and efficiency of ours.","1558-2191","","10.1109/TKDE.2021.3124271","National Natural Science Foundation of China(grant numbers:61973242,61573265,61203037); Fundamental Research Funds for the Central Universities(grant numbers:K7215581201,K5051304004,K5051304021); New Century Excellent Talents in University(grant numbers:NCET-12-0921); Ministry of Education in Singapore(grant numbers:2014-T1-001-147); Ministry of Education in Singapore(grant numbers:MOE2015-T2-2-049); Natural Science Foundation of Shaanxi Province(grant numbers:2017ZDJC-34); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599502","Role-based access control;Petri nets;authorization constraints;integer linear programming","Authorization;Blacklisting;Mathematical models;Petri nets;Integer linear programming;Optimization;Monitoring","authorisation;computability;constraint satisfaction problems;integer programming;linear programming;Petri nets;reachability analysis","authorization constraint analysis;binding of duties;constraint satisfaction;constraint verification;constraints of cardinality;ILP formulation;integer linear programming problem;necessary conditions;net reachability set;Petri nets;RBAC policy;role-based access control policy;satisfiability;separation of duties;sufficient conditions;violation resolution strategy","","","","46","IEEE","2 Nov 2021","","","IEEE","IEEE Journals"
"OmpSs-2 and OpenACC Interoperation","O. Korakitis; S. G. de Gonzalo; N. Guidotti; J. Barreto; J. Monteiro; A. J. Peña","Computing Systems Lab, Huawei Zurich Research Center; Sandia National Laboratories; INESC-ID, University of Lisbon; INESC-ID, University of Lisbon; INESC-ID, University of Lisbon; Barcelona Supercomputing Center (BSC)","2022 Workshop on Accelerator Programming Using Directives (WACCPD)","31 Jan 2023","2022","","","11","21","We propose an interoperation mechanism to enable novel composability across pragma-based programming models. We study and propose a clear separation of duties and implement our approach by augmenting the OmpSs-2 programming model, compiler and runtime system to support OmpSs-2 + OpenACC programming. To validate our proposal we port ZPIC, a kinetic plasma simulator, to leverage our hybrid OmpSs-2 + OpenACC implementation. We compare our approach against OpenACC versions of ZPIC on a multi-GPU HPC system. We show that our approach manages to provide automatic asynchronous and multi-GPU execution, removing significant burden from the application’s developer, while also being able to outperform manually programmed versions, thanks to a better utilization of the hardware.","","978-1-6654-9019-1","10.1109/WACCPD56842.2022.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10029694","Programming Productivity;Data Flow Paradigm;Task based;Parallelism;Runtime Scheduling;Code Transformation;GPU","Runtime;Program processors;Conferences;Programming;Hardware;Plasmas;Kinetic theory","graphics processing units;multiprocessing systems;open systems;parallel programming;program compilers","automatic asynchronous execution;compiler;kinetic plasma simulator;multiGPU HPC system;OmpSs-2 programming model;OpenACC Interoperation;OpenACC programming;port ZPIC;pragma-based programming models;runtime system","","","","33","IEEE","31 Jan 2023","","","IEEE","IEEE Conferences"
"Dynamic Implementation of Security Requirements in Business Processes","B. Yang; H. Hu","School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China; School of Electro-Mechanical Engineering, Xidian University, Xi'an, Shaanxi, China","IEEE Transactions on Dependable and Secure Computing","11 Mar 2022","2022","19","2","1352","1363","Separations of Duties (SoDs) are an important class of security requirements in business process management. Their violation may result in system misuse and fraud, leading to economic losses or legal implications. Hence, it is of paramount importance to ensure that a business process meets all SoDs. Existing works usually adopt model checking to verify SoDs. However, building formal models that simultaneously account for both workflow and SoDs is a time-consuming and error-prone activity. In this article, we propose a new approach to specifying and enforcing SoDs in business processes using Petri nets (PNs). First, we derive a necessary and sufficient condition for the SoD violations from the viewpoint of structure and marking of PNs. We show that the SoD constraints can be enforced by disallowing the process to reach certain markings, with the constraints being written as linear inequalities. Then, we design supervisors to enforce SoDs in an off-line and a real-time manner, respectively, based on the linear inequalities. Meanwhile, inequality analysis is provided for the structural simplicity of supervisors. Finally, the complexity analysis of our approach and the comparison with the work in the literature are given to illustrate the effectiveness and efficiency of ours.","1941-0018","","10.1109/TDSC.2020.3012729","National Natural Science Foundation of China(grant numbers:61973242,61573265,61203037); Fundamental Research Funds for the Central Universities(grant numbers:K7215581201,K5051304004,K5051304021); Program for New Century Excellent Talents in University(grant numbers:NCET-12-0921); Academic Research Fund Tier 1 by Ministry of Education in Singapore(grant numbers:2014-T1-001-147); Academic Research Fund Tier 2 by Ministry of Education in Singapore(grant numbers:MOE2015-T2-2-049); Natural Science Foundation of Shaanxi Province(grant numbers:2017ZDJC-34); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152100","Business process;role-based access control;security requirement;separation of duty constraints;petri nets","Access control;Real-time systems;Model checking;Petri nets;Task analysis","","","","3","","37","IEEE","29 Jul 2020","","","IEEE","IEEE Journals"
"Analyzing Security Requirements in Timed Workflow Processes","Y. Du; Y. Wang; B. Yang; H. Hu","School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; School of Mechanical Engineering, University of Science and Technology Beijing, Beijing, China; School of Electro-Mechanical Engineering, Xidian University, Xi&#x0027;an, Shaanxi, China; School of Electro-Mechanical Engineering, Xidian University, Xi&#x0027;an, Shaanxi, China","IEEE Transactions on Dependable and Secure Computing","14 Jan 2022","2022","19","1","190","207","Much attention is being paid to security requirements of workflow processes with authorization policies, e.g., safety properties, liveness properties, separation of duties, binding of duties, and constraints of cardinality. However, existing methods neglect the execution condition of activities and the logical structures among activities along with their time attributes, suffer from low efficiency when checking the security requirements of large-scale and structurally complex workflow processes, and provide no solutions as a response to the violations of various security requirements. Thus, existing methods cannot guarantee the absolute security and smooth execution of such workflow processes. In this article, we propose a security team timed automaton (STTA) based approach to analyzing security requirements in timed workflow processes. First, we construct STTAs for timed workflow processes with authorization policies. Second, security requirements are automatically verified based on STTAs. Third, based on two effective strategies, we provide solutions to violated security requirements, if any. Compared with the existing methods, our approach can not only formally describe and analyze five commonly-viewed and frequently-adopted security requirements for timed workflow processes and dramatically decrease their temporal and spatial complexity for verification, but also provide solutions to the violations of security requirements so as to implement the security management of workflow processes.","1941-0018","","10.1109/TDSC.2020.2975163","National Natural Science Foundation of China(grant numbers:61473035,61973242); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9003204","Security requirement;workflow process;model checking;timed automata","Authorization;Safety;Automata;Analytical models;Process control;Business","authorisation;formal verification;security of data;workflow management software","security requirement analysis;timed workflow processes;authorization policies;security team timed automaton;STTA;security management","","4","","61","IEEE","19 Feb 2020","","","IEEE","IEEE Journals"
"Managing Security Operations","M. Chapple; J. M. Stewart; D. Gibson","University of Notre Dame; Lan Wrights, Inc., Austin, Texas; NA","(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide","","2021","","","763","800","Security operations include a wide range of security foundation concepts and best practices. These include several core concepts that any organization needs to implement to provide basic security protection. This chapter covers these concepts. The primary purpose of security operations practices is to safeguard assets such as information, systems, devices, facilities, and applications. Need to know and the principle of least privilege are two standard principles followed in any secure Information Technology environment. They help protect valuable assets by limiting access to these assets. <i>Separation of duties</i> and responsibilities ensures that no single person has total control over a critical function or system. <i>Job rotation</i> means that employees rotate through jobs or rotate job responsibilities with other employees. <i>Privileged account management</i> solutions restrict access to privileged accounts or detect when accounts use any elevated privileges. A <i>service level agreement</i> is an agreement between an organization and an outside entity, such as a vendor.","","9781119786337","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9946724.pdf&bkn=9946648&pdfType=chapter","","Security;Organizations;Task analysis;Software as a service;Servers;Malware;Fraud","","","","","","","","11 Nov 2022","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Secure Remote Maintenance via Workflow-Driven Security Framework","P. Kasinathan; D. Martintoni; B. Hofmann; V. Senni; M. Wimmer","Cybersecurity Technology, Siemens AG, Munich, Germany; Applied Research and Technology, Collins Aerospace, Trento, Italy; Cybersecurity Technology, Siemens AG, Munich, Germany; Applied Research and Technology, Collins Aerospace, Trento, Italy; Cybersecurity Technology, Siemens AG, Munich, Germany","2021 IEEE International Conference on Blockchain (Blockchain)","24 Jan 2022","2021","","","29","37","Remote Maintenance in collaborative manufacturing provides a lot of benefits such as reduced downtime in manufacturing operations. But at the same time, it increases the attack-surface by opening new attack paths to strictly controlled network zones. In this paper, we analyse a real-world cross-organizational remote maintenance scenario by collecting security requirements (e.g., authentication, authorization, and auditability), and present a workflow-based approach to model and formally enforce access control for that scenario. The proposed approach leverages the Workflow-Driven Security Framework (WDSF) to enforce the least privilege principle; to ensure workflow integrity and separation of duties, (i.e., business process enforcement and compliance); to protect the confidentiality and integrity of sensitive information; and to provide traceability and non-repudiation in case of root-cause analysis. The WDSF uses Petri Nets (PN) to model and enforce the workflow, and blockchain and smart contracts to guarantee accountability and traceability of workflow events. The Petri Nets workflows are modelled and validated using the WoPeD tool.","","978-1-6654-1760-0","10.1109/Blockchain53845.2021.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680512","Blockchain;Security;Workflows;Petri Nets;Remote Maintenance;Workflow-Driven Security Framework","Authorization;Conferences;Petri nets;Smart contracts;Collaboration;Authentication;Maintenance engineering","authorisation;business data processing;Petri nets;security of data;workflow management software","secure remote maintenance;workflow-driven security framework;collaborative manufacturing;reduced downtime;manufacturing operations;attack-surface;attack paths;real-world cross-organizational remote maintenance scenario;security requirements;workflow-based approach;access control;workflow integrity;business process enforcement;workflow events;Petri Nets workflows","","3","","22","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"Digital Game-Based Pedagogy: Teachers' Perspectives","U. Maneerattanasak","Department of Accountancy, Mahanakorn University of Technology, Bangkok, Thailand","2021 6th International STEM Education Conference (iSTEM-Ed)","8 Dec 2021","2021","","","1","4","Various business simulation games are contained in the curriculum to establish the pedagogy in the field of business process conception. The introduction of online business simulation games that simulate real business processes to inexperienced students has been established in digital pedagogy as well. The instructors were observers of the play by purposely selected students in the action research workshop while the researcher took the role of facilitator. After observing the workshop, the instructors were interviewed. They saw the teamwork and the phenomenon that students were helpful and cooperating well. While playing the game, they discussed all about the business issues, decisions, status of the business and segregation of duty. Additionally, in order to be ready for digital pedagogy using digital games, the teacher needs to work on demonstration, assistance and consultation for a while to be familiar with the game. Meanwhile, the concerns of digital games are license fee and accessibility to the game and communication.","","978-1-6654-3600-7","10.1109/iSTEM-Ed52129.2021.9625096","Thailand Science Research and Innovation (TSRI); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9625096","Digital pedagogy;online business game;teachers' perspectives","Training;Engineering profession;Conferences;Games;Observers;Licenses;Teamwork","computer aided instruction;management education;serious games (computing)","action research workshop;business issues;digital game-based pedagogy;business process conception;online business simulation games;simulate real business processes;inexperienced students","","","","9","IEEE","8 Dec 2021","","","IEEE","IEEE Conferences"
"A Kubernetes CI/CD Pipeline with Asylo as a Trusted Execution Environment Abstraction Framework","J. Mahboob; J. Coffman","Google, LLC; United States Air Force Academy,Department of Computer and Cyber Sciences","2021 IEEE 11th Annual Computing and Communication Workshop and Conference (CCWC)","17 Mar 2021","2021","","","0529","0535","Modern commercial software development organizations frequently prescribe to a development and deployment pattern for releases known as continuous integration / continuous deployment (CI/CD). Kubernetes, a cluster-based distributed application platform, is often used to implement this pattern. While the abstract concept is fairly well understood, CI/CD implementations vary widely. Resources are scattered across on-premise and cloud-based services, and systems may not be fully automated. Additionally, while a development pipeline may aim to ensure the security of the finished artifact, said artifact may not be protected from outside observers or cloud providers during execution. This paper describes a complete CI/CD pipeline running on Kubernetes that addresses four gaps in existing implementations. First, the pipeline supports strong separation-of-duties, partitioning development, security, and operations (i.e., DevSecOps) roles. Second, automation reduces the need for a human interface. Third, resources are scoped to a Kubernetes cluster for portability across environments (e.g., public cloud providers). Fourth, deployment artifacts are secured with Asylo, a development framework for trusted execution environments (TEEs).","","978-1-6654-1490-6","10.1109/CCWC51732.2021.9376148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9376148","continuous integration / continuous deployment (CI/CD);Kubernetes;trusted execution environment (TEE);DevSecOps;Asylo;Tekton;Kaniko;Harbor","Cloud computing;Conferences;Pipelines;Organizations;Containers;Virtual machining;Security","cloud computing;security of data;software engineering;trusted computing","Asylo;trusted execution environment abstraction framework;modern commercial software development organizations;deployment pattern;application platform;abstract concept;cloud-based services;development pipeline;observers;Kubernetes cluster;public cloud providers;deployment artifacts;development framework;trusted execution environments;continuous integration;continuous deployment;cluster-based distributed application platform;DevSecOps;CI-CD pipeline;human interface;portability;Kubernetes CI/CD pipeline","","6","","21","IEEE","17 Mar 2021","","","IEEE","IEEE Conferences"
