Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
Medical Database Security;GI — 20. Jahrestagung II;;;;10.1007/978-3-642-76119-5_22;Joachim Biskup;1990;http://link.springer.com/chapter/10.1007/978-3-642-76119-5_22;Chapter
Technical Security: The Starting Point;Advances in Cryptology — EUROCRYPT ’89;;;;10.1007/3-540-46885-4_26;Jan Van Auseloos;1990;http://link.springer.com/chapter/10.1007/3-540-46885-4_26;Chapter
A Case Study in Representing a Model: To Z or Not To Z?;Z User Workshop, Oxford 1990;;;;10.1007/978-1-4471-3540-1_16;Jonathan D. MoffettMorris S. Sloman;1991;http://link.springer.com/chapter/10.1007/978-1-4471-3540-1_16;Chapter
Integrität in IT-Systemen;VIS ’91 Verläßliche Informationssysteme;;;;10.1007/978-3-642-76562-9_5;Peter KraaibeekPatrick Horster;1991;http://link.springer.com/chapter/10.1007/978-3-642-76562-9_5;Chapter
Sicherheit in Informationssystemen Gewährleistung und Begrenzung des Informationsflusses;VIS ’91 Verläßliche Informationssysteme;;;;10.1007/978-3-642-76562-9_1;Joachim Biskup;1991;http://link.springer.com/chapter/10.1007/978-3-642-76562-9_1;Chapter
Developing Complex Software for Critical Systems;Information als Produktionsfaktor;;;;10.1007/978-3-642-77810-0_9;Peter G. Neumann;1992;http://link.springer.com/chapter/10.1007/978-3-642-77810-0_9;Chapter
Enhancing the instructional capabilities of Intelligent tutoring systems;Intelligent Tutoring Systems;;;;10.1007/3-540-55606-0_63;Permanand MohanJim GreerMarlene Jones;1992;http://link.springer.com/chapter/10.1007/3-540-55606-0_63;Chapter
Knowledge-based Audit Support;Database and Expert Systems Applications;;;;10.1007/978-3-7091-7557-6_87;P. I. ElsasR. P. van de RietJ. J. van Leeuwen;1992;http://link.springer.com/chapter/10.1007/978-3-7091-7557-6_87;Chapter
On Using Women as Resources: Italian Unions’ Strategies Towards Information Technology and New Organisation of Work;Computer-aided Manufacturing and Women’s Employment: The Clothing Industry in Four EC Countries;;;;10.1007/978-1-4471-1837-4_3;Marcella Chiesi;1992;http://link.springer.com/chapter/10.1007/978-1-4471-1837-4_3;Chapter
Specification and validation of a security policy model;FME '93: Industrial-Strength Formal Methods;;;;10.1007/BFb0024636;Tony Boswell;1993;http://link.springer.com/chapter/10.1007/BFb0024636;Chapter
Sicherheitsmodelle in Theorie und Praxis;Europäischer Informatik Kongreß Architektur von Rechensystemen Euro-ARCH ’93;;;;10.1007/978-3-642-78565-8_21;Esther AmannVolker Kessler;1993;http://link.springer.com/chapter/10.1007/978-3-642-78565-8_21;Chapter
Managing structured documents in distributed publishing environments;Database and Expert Systems Applications;;;;10.1007/3-540-58435-8_173;Franz BurgerGerald QuirchmayrSiegfried ReichA. Min Tjoa;1994;http://link.springer.com/chapter/10.1007/3-540-58435-8_173;Chapter
Privilege graph: An extension to the typed access matrix model;Computer Security — ESORICS 94;;;;10.1007/3-540-58618-0_72;Marc DacierYves Deswarte;1994;http://link.springer.com/chapter/10.1007/3-540-58618-0_72;Chapter
Information security concepts in Computer Supported Cooperative Work;Database and Expert Systems Applications;;;;10.1007/BFb0049159;S. TeufelJ. H. P. EloffK. BauknechtD. Karagiannis;1995;http://link.springer.com/chapter/10.1007/BFb0049159;Chapter
Improving Security by Fault Tolerance;Dependable Computing for Critical Applications 4;;;;10.1007/978-3-7091-9396-9_29;Yves Deswarte;1995;http://link.springer.com/chapter/10.1007/978-3-7091-9396-9_29;Chapter
Support for joint action based security policies;Information Security and Privacy;;;;10.1007/BFb0023300;Vijay VaradharajanPhillip Allen;1996;http://link.springer.com/chapter/10.1007/BFb0023300;Chapter
An authorization model for workflows;Computer Security — ESORICS 96;;;;10.1007/3-540-61770-1_27;Vijayalakshmi AtluriWei-Kuang Huang;1996;http://link.springer.com/chapter/10.1007/3-540-61770-1_27;Chapter
Statement-sets;Parallel Computation;;;;10.1007/3-540-61695-0_14;Svend Erik Knudsen;1996;http://link.springer.com/chapter/10.1007/3-540-61695-0_14;Chapter
Access control: The neglected frontier;Information Security and Privacy;;;;10.1007/BFb0023301;Ravi Sandhu;1996;http://link.springer.com/chapter/10.1007/BFb0023301;Chapter
SPEAR: Extending ER for dynamic behaviour and refinement;Advances in Databases;;;;10.1007/3-540-61442-7_7;Simon WisemanBryony Pomeroy;1996;http://link.springer.com/chapter/10.1007/3-540-61442-7_7;Chapter
