Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Local area network operations: a security, control and audit perspective","Journal of Information Technology","","5","2","10.1057/jit.1990.15","Rodger JamiesonGraham Low","1990","http://link.springer.com/article/10.1057/jit.1990.15","Article"
"Economic incentives and the demand for accounting information: Perspectives from medieval English finance","Journal of Economics and Finance","","17","2","10.1007/BF02920633","Alan BlankleyDana Forgione","1993","http://link.springer.com/article/10.1007/BF02920633","Article"
"Coalition for networked information","Archives and Museum Informatics","","7","4","10.1007/BF02770740","","1993","http://link.springer.com/article/10.1007/BF02770740","Article"
"Information technology-enabled change: the risks and rewards of business process redesign and automation","Journal of Information Technology","","9","4","10.1057/jit.1994.29","Kirk D FiedlerVarun GroverJames T C Teng","1994","http://link.springer.com/article/10.1057/jit.1994.29","Article"
"Applying SODA in the NHS","OR Insight","","8","2","10.1057/ori.1995.12","Claudia Roginski","1995","http://link.springer.com/article/10.1057/ori.1995.12","Article"
"Guide for members of governing bodies of universities and colleges in England and Wales","Minerva","","33","4","10.1007/BF01096519","Lord Limerick","1995","http://link.springer.com/article/10.1007/BF01096519","Article"
"The facilitator and the chauffeur in GSS: Explorations in the forging of a relationship","Group Decision and Negotiation","","5","1","10.1007/BF02404175","Alma M. Whiteley Ph.D.Joseph E. Garcia Ph.D.","1996","http://link.springer.com/article/10.1007/BF02404175","Article"
"The facilitator and the chauffeur in GSS: Explorations in the forging of a relationship","Group Decision and Negotiation","","5","1","10.1007/BF00554236","Alma M. Whiteley Ph.D.Joseph E. Garcia Ph.D.","1996","http://link.springer.com/article/10.1007/BF00554236","Article"
"The NHS: Who is attacking, who is defending?","Health Care Analysis","","4","4","10.1007/BF02249322","Andrew Wall","1996","http://link.springer.com/article/10.1007/BF02249322","Article"
"Informed consent for research purposes  in intensive care patients in Europe –  part I","Intensive Care Medicine","","23","3","10.1007/s001340050337","F. LemaireL. BlanchS. L. CohenC. Sprung","1997","http://link.springer.com/article/10.1007/s001340050337","Article"
